frase	duracao_media_masculino	total_classificacoes_masculino	classificacao_majoritaria_masculino	votos_maioria_masculino	total_positiva_masculino	total_negativa_masculino	total_neutra_masculino	duracao_media_feminino	total_classificacoes_feminino	classificacao_majoritaria_feminino	votos_maioria_feminino	total_positiva_feminino	total_negativa_feminino	total_neutra_feminino	concordancia_grupos
Essa pessoa que postou isso tem 56 ANOS e ERA CASADA NA ÉPOCA COM UM CARA DE 24 ANOS.	5.97125	4	positiva	3	3	0	1	6.916	4	positiva	3	3	0	1	1
E NÃO É A PRIMEIRA VEZ QUE ELE TENTA ALGO... NÃO QUERO ENTRAR EM DETALHES	2.9115	4	positiva	4	4	0	0	4.0405	4	positiva	3	3	0	1	1
E pode ter certeza, mãe, vou lhe dá muito orgulho.	7.75325	4	neutra	2	1	1	2	9.13925	4	neutra	3	0	1	3	1
E isso me afetou muito, fiquei totalmente bravo.	4.162	4	negativa	3	0	3	1	6.539000000000001	4	neutra	3	0	1	3	0
Na minha vida amorosa tudo é uma GRANDE merda.	4.64725	4	positiva	4	4	0	0	5.3265	4	positiva	3	3	0	1	1
Eu não tinha medos.	2.17625	4	negativa	4	0	4	0	9.79725	4	negativa	3	0	3	1	1
Quando tento alertar as pessaoas mais proximas elas dizem que a tu es magra deves engordar e tal, mas quando tento brincar com a situação para as alertar elas dizer oh mas tu também não és muito alta.	2.40525	4	negativa	4	0	4	0	4.02525	4	negativa	3	0	3	1	1
Essa liberdade ta me fazendo muito falta agora.	10.67675	4	negativa	3	0	3	1	18.4	4	neutra	3	0	1	3	0
Só que aconteceu uma coisa engraçada, aliás desde o primeiro dia.	5.96425	4	negativa	3	0	3	1	8.69275	4	negativa	4	0	4	0	1
Você me faz bem e eu sinto que sou amada verdadeiramente.	4.0285	4	negativa	3	0	3	1	22.99275	4	negativa	4	0	4	0	1
Ele me ameaçou disse que iria me matar.	1.8780000000000001	4	positiva	4	4	0	0	3.5004999999999997	4	positiva	4	4	0	0	1
u tenho tanto raiva em pensar que desde quando saia da casa deles, eu fiquei ajudando eles, principalmente minha mãe e eu nunca recebi amor em troca, as vezes não aguentava de solidão.	5.978999999999999	4	neutra	4	0	0	4	10.73725	4	neutra	3	1	0	3	1
Vou sentir falta dela, mas a vida é assim, as vezes temos que abrir mão de algo, para podermos continuar nosso caminho.	2.3707499999999997	4	negativa	4	0	4	0	4.10125	4	negativa	4	0	4	0	1
Dai minha mãe foi pra casa e eu fui pro curso com meu namorado e nossa amiga, quando eu cheguei mãe me disse que tinha postado a foto no orkut dela.	6.183	4	negativa	4	0	4	0	10.487	4	negativa	4	0	4	0	1
Eu já não sinto mais aquele amor, não sinto prazer, já não consigo mais gostar nem de mim.	4.69975	4	negativa	2	1	2	1	9.379000000000001	4	neutra	2	1	1	2	0
Meu coração hoje se encontra dilacerado.	7.55975	4	neutra	3	0	1	3	7.9005	4	neutra	3	1	0	3	1
Nossa hoje estou com vergonha e muito mais muito ODIO de mim.	4.1667499999999995	4	negativa	4	0	4	0	11.130499999999998	4	negativa	4	0	4	0	1
Saímos da sala de espera e entrei num longo corredor.	2.247	4	negativa	4	0	4	0	3.4154999999999998	4	negativa	4	0	4	0	1
Ódio eu tenho de mim mesma, por não ser a filha que você sempre quis e desejou; e por mais que eu tente - sim, eu tento	2.419	4	negativa	4	0	4	0	7.2895	4	negativa	4	0	4	0	1
Voltei a morar com ela tinha 11 anos quando fui abandonada pela minha tia, foi muito difícil nosso relacionamento, ela repetia milhões de vezes que eu não era filha dela, que eu era um erro que aconteceu.	3.08125	4	neutra	3	0	1	3	4.06675	4	neutra	3	0	1	3	1
Nós nos amamos, e vamos nos casar.	4.88	4	negativa	4	0	4	0	11.32825	4	negativa	4	0	4	0	1
A maioria das aulas são de manhã, ou seja, tenho que acordar cedo.	6.964500000000001	4	negativa	4	0	4	0	9.25825	4	negativa	4	0	4	0	1
Não ouso jogar nada daquilo fora, por que é o que me resta de ti, não é?	2.24875	4	positiva	4	4	0	0	2.7279999999999998	4	positiva	3	3	0	1	1
Esperei tanto tempo para chegar a esse ponto, eu não sei mais o que fazer, tenho medo de perder sua amizade, ou melhor, acredito que perdi, pois nem querer me aceitar você quer mais.	3.0934999999999997	4	neutra	3	0	1	3	7.335500000000001	4	neutra	4	0	0	4	1
Ele sempre esteve do meu lado e o que eu mais queria é que ele estivesse do meu lado todos os dias.	3.97825	4	positiva	2	2	1	1	7.555249999999999	4	neutra	2	1	1	2	0
E dia 22 à noite sai a lista dos convocados, 28 a segunda lista, e depois, se houver, ainda tem a lista de vagas remanescentes.	133.17174999999997	4	negativa	4	0	4	0	10.784	4	negativa	4	0	4	0	1
Não ligo pra esse papo, só ligo pra você.	5.52775	4	neutra	4	0	0	4	13.729500000000002	4	neutra	4	0	0	4	1
Amizades verdadeiras é disso que o mundo precisa.	2.9995	4	neutra	3	1	0	3	2.95125	4	neutra	3	1	0	3	1
Grito dezenas de vezes durante o dia.	2.3667500000000006	4	neutra	2	1	1	2	5.923	4	neutra	3	1	0	3	1
Rodrigo meu amigo, ele disse que ia volta pra fala comigo no msn, eu o considero como um grande irmão pra mim.	1.51675	4	positiva	3	3	0	1	3.4985	4	positiva	3	3	0	1	1
São poucos os que eu me explico.	2.4675000000000002	4	positiva	4	4	0	0	4.86625	4	positiva	3	3	0	1	1
Hoje ganhei da minha mãe um escapulário, e ele tem uma mensagem de Deus em um dos quadradinhos.	5.8895	4	positiva	4	4	0	0	11.778500000000001	4	positiva	3	3	0	1	1
Você sabia que o menino que mais vai te dar valor é aquele que não consegue chegar em você, aquele que olha pra você e quando você percebe abaixa a cabeça ou sorri, que não consegue olhar olho no olho, e ao conversar contigo fica sorrindo igual um bobo, e muitas vezes acaba falando algumas coisas nada haver, um tanto idiotas, mas você sabia que ele faz isso porque está querendo tirar um sorriso do seu rosto?	109.18225	4	positiva	4	4	0	0	96.37225000000001	4	positiva	4	4	0	0	1
Hoje com 21 anos, como que por auxilio lá do auto, começei a ver nessa semana relatos de pessoas que foram curadas atráves da terapia de vidas passadas.	12.461500000000001	4	positiva	3	3	1	0	89.76575	4	positiva	4	4	0	0	1
Nesse momento to evitando ela, e ta me dando um aperto, no coração, mas tenho que fazer isso, não tem como continuar, e sou muito ciumento e intolerante com esses tipos de coisas, não tem a mínima chance de eu e ela darmos certo.	14.7025	4	negativa	2	1	2	1	42.78675	4	negativa	3	0	3	1	1
Meus sentidos de garota diziam que tinha alguma coisa errada, entao pedir para o lucar e o victor voltar lá comigo e tentar acordar o homem para saber se ele estava vivo.	19.421	4	neutra	3	1	0	3	13.67	4	neutra	2	1	1	2	1
Aquela promessa que eu te fiz naquele natal, e te abracei forte.	5.5920000000000005	4	positiva	3	3	0	1	7.90625	4	positiva	3	3	1	0	1
Eu como a boa esposa que sempre fui passei sua melhor farda engraxei seu coturno o deixei lindo e cheiroso ele me deu um beijo e se foi.	11.846499999999999	4	positiva	2	2	1	1	33.66225	4	negativa	2	1	2	1	0
E sempre sorrio!	4.49375	4	positiva	3	3	0	1	3.1847499999999997	4	positiva	3	3	1	0	1
Desta vez ele me fez gozar de uma forma que o meu corpo tremia todo.	12.526499999999999	4	positiva	4	4	0	0	11.340000000000002	4	positiva	4	4	0	0	1
Meu Deus, por isso ta tão vermelha acho que esta com febre, mas pq não vai ao convenio?	10.2255	4	neutra	2	1	1	2	6.9464999999999995	4	negativa	3	0	3	1	0
Pois é, eu não, eu nunca vou te abandonar, eu nunca canso de você, eu nunca quero o teu mal, eu só quero te abraçar e te ver feliz.	5.86625	4	positiva	3	3	0	1	212.11950000000002	4	positiva	3	3	1	0	1
Hoje minha sala foi pra biblioteca depois do intervalo.	5.384	4	neutra	4	0	0	4	400.89175000000006	4	neutra	4	0	0	4	1
Ju e Geovana ficaram menos mandonas, o que melhorou o nosso relacionamento.	6.49625	4	neutra	2	1	1	2	6.7299999999999995	4	positiva	3	3	0	1	0
O Diego me mandou embora, não quis mais saber de mim, minha mãe virou as costas pra mim, eu só tinha meu pai e ele me pedindo pra tirar o dinheiro no banco, fazendo a maior pressão psicológica, eu não ia tirar?	9.1545	4	negativa	3	0	3	1	13.93	4	negativa	4	0	4	0	1
Joguei os móveis, os pôsteres, a cor, joguei fora tudo aquilo que não precisava.	8.16225	4	positiva	2	2	1	1	11.4515	4	positiva	2	2	1	1	1
Hoje acordei e ela nem se quer me olhou.	4.6505	4	negativa	3	0	3	1	3.69125	4	negativa	3	0	3	1	1
Não vai ser difícil para mim escrever esse guia.	4.879	4	positiva	2	2	1	1	4.10725	4	neutra	4	0	0	4	0
É tão dificil assim ela me amar, porque ela falo que eu não vou fazer diferença a unica coisa que eu queria era ser amiga da minha mãe mas ela me impede isso.	9.96175	4	negativa	3	1	3	0	13.985499999999998	4	negativa	4	0	4	0	1
É muito triste saber que tenho uma irmã que me fez namorar um menino gay simplesmente pra abafar o romance dele com o meu sobrinho de 15 anos.	7.788500000000001	4	negativa	3	0	3	1	53.1415	4	negativa	4	0	4	0	1
Seu corpo é um espetáculo com direito a gostinho de quero mais, seu sorriso e tão safado quanto o próprio dono.	5.664499999999999	4	positiva	3	3	1	0	10.6565	4	positiva	2	2	1	1	1
Já comecei mal o dia.	2.58875	4	negativa	2	1	2	1	2.78475	4	negativa	3	0	3	1	1
Amo-a mais que tudo nessa vida, então, eu amo a minha vida.	6.497999999999999	4	positiva	3	3	0	1	6.28075	4	positiva	2	2	1	1	1
Depois ela me abraçou e disse que todos nós temos nosso tempo de vida e que ninguém pode saber o seu.	8.31575	4	neutra	2	1	1	2	9.00125	4	neutra	3	0	1	3	1
Resolvi cortar minha franja.	3.6579999999999995	4	neutra	3	1	0	3	6.143249999999999	4	neutra	4	0	0	4	1
Fui sábado no salão pra fazer progressiva, finalmente cabelo bom e não cabelo ruim, não tava aguentando aquela Palha.	39.421	4	positiva	3	3	1	0	9.0185	4	positiva	3	3	0	1	1
Estou pensando seriamente em fugir de casa e dar um tempo, e em sequencia conviver com meu amado!	7.4647499999999996	4	negativa	2	1	2	1	13.832749999999999	4	neutra	2	1	1	2	0
Possa ser que o que disse não faça a mínima importância, pois você começou um novo relacionamento a pouco tempo, porém eu precisava me expressar de qualquer maneira.	485.81625	4	positiva	3	3	1	0	15.232499999999998	4	neutra	3	0	1	3	0
Alias ninguém nunca se importou em ao menos saber se eu estava bem, ou se estava precisando de ajuda.	6.42	4	negativa	3	0	3	1	6.381	4	negativa	3	0	3	1	1
Nunca namorei a distância, mas acho que não seria fácil!	4.331250000000001	4	positiva	2	2	1	1	7.9975	4	neutra	3	0	1	3	0
Me imagino pensando em filhos, afinal tenho um sonho: adotar.	5.5985	4	positiva	3	3	0	1	4.94575	4	positiva	4	4	0	0	1
Bom hoje começo escrever meu diário virtual, já que não tenho um único amigo pra me ouvir quando preciso.	9.46875	4	negativa	3	0	3	1	7.772750000000001	4	negativa	3	0	3	1	1
Chegando à fábrica fiz o processo normal, quando estou chegando a minha sala vejo o telefone tocar e quando olho o nome dele surgi no visor , meu coração dispara, atendo e marcamos para nos ver na saída, fico meio tranquila.	9.724499999999999	4	neutra	2	1	1	2	13.30325	4	neutra	3	1	0	3	1
Minha vida é um sofrimento interno e eterno.	4.28425	4	negativa	3	1	3	0	36.661	4	negativa	4	0	4	0	1
O irmão mais velho entregou o material e foi para a cidade.	3.995	4	neutra	3	1	0	3	3.846	4	neutra	4	0	0	4	1
Eu te conheço como ninguém, o teu coração está aqui na minha mão, eu posso sentir os batimentos.	8.825	4	positiva	3	3	0	1	9.022	4	positiva	4	4	0	0	1
Já não bastava o fato de ter um bandido em casa , ele não deixava mais minha mãe falar comigo ele não desgrudava dela.	12.274999999999999	4	negativa	3	0	3	1	8.271	4	negativa	4	0	4	0	1
Estou só, minha esposa passou o dia fora e disse estar na casa de sua mãe, digo que ela disse pois temo estar sendo traído há algum tempo.	8.55	4	negativa	2	1	2	1	7.2322500000000005	4	negativa	4	0	4	0	1
Coloque seus problemas nas mãos do Senhor, e Ele te dará Vitórias!	5.75375	4	positiva	3	3	0	1	4.898	4	positiva	2	2	1	1	1
Só não tentei nada com ele, porque ele é noivo.	6.1850000000000005	4	neutra	2	1	1	2	5.86775	4	neutra	3	1	0	3	1
À minha frente lá estava a tal mulher , que inacreditavelmente já não levava a mesma abóbora, mas uma metade dela.	14.85825	4	neutra	3	1	0	3	7.0875	4	neutra	4	0	0	4	1
Hoje será o dia que ele vai estar completamente e malucamente apaixonado por você se tudo tiver ido certo .	4.75	4	positiva	4	4	0	0	10.8915	4	positiva	3	3	0	1	1
Então alguém bateu palmas no portão seria ali que minha vida desmoronaria, era um homem e meu esposo foi atender e nossa ele estava pálido nervoso eu não entendi o porque, e fiquei na porta quão grande foi minha decepção e angustia.	13.045	4	negativa	3	1	3	0	14.07625	4	negativa	4	0	4	0	1
Ultimamente ando muito compulsiva - por masturbação com o vibrador, por comida, meio agressiva, me sacudindo, me mordendo, me azunhando.	10.82275	4	negativa	3	1	3	0	8.221	4	negativa	4	0	4	0	1
Na verdade eu nem queria ter acordado hoje.	3.2592499999999998	4	negativa	3	0	3	1	4.19475	4	negativa	4	0	4	0	1
Vejo que sou rodeada de pessoas falsas, homens safados mentirosos quando penso que encontrei alguém diferente, é engano, só mas um falso e mentiroso.	7.0885	4	negativa	3	0	3	1	7.0535	4	negativa	4	0	4	0	1
Eu tive que voltar cedinho pra casa como se eu tivesse ido pra uma balada mas acabo que nem deu nada.	7.9094999999999995	4	neutra	3	0	1	3	9.67275	4	neutra	4	0	0	4	1
Bem quando o meu filho fez 5 meses eu conheci um amigo da minha irmã, a principio foi uma amizade mais com menos de 15 dias demos nosso 1º beijo e nossa que beijo delicioso pronto foi paixão na certa.	10.4255	4	positiva	3	3	1	0	18.623	4	positiva	3	3	0	1	1
Cachorro, obrigada por estar lá enquanto eu sofria bullying, e fiquei anoréxica por causa de comentários idiotas e banais que não mudariam minha vida se eu não ligasse.	22.078250000000004	4	negativa	3	0	3	1	9.18125	4	negativa	4	0	4	0	1
Hoje eu sair com uns amigos.	2.1262499999999998	4	positiva	3	3	0	1	2.255	4	neutra	4	0	0	4	0
Perto da nossa escola tem um posto de saudade e eu pedi para ele ir lá e pegar camisinha para mim, pq mesmo eu sendo menina acho que é bom ter guardado para o caso de for transa com alguém ter camisinha e ficar protegido.	5.996	4	positiva	4	4	0	0	15.258249999999999	4	positiva	4	4	0	0	1
Mas isso não me impediu de tirar um 10 na prova de matemática que, vamos combinar, estava super fácil.	5.81	4	positiva	3	3	0	1	5.40575	4	positiva	3	3	0	1	1
Eu ouvi tudo e fiquei muito orgulhosa de mim mesma!	1.8207499999999999	4	positiva	3	3	1	0	2.6172500000000003	4	positiva	4	4	0	0	1
Horas foram passando, fomos pra sala de vídeo, era aula de educação de física, que droga!	7.606750000000001	4	negativa	3	1	3	0	5.4262500000000005	4	neutra	4	0	0	4	0
To cansada de brigar com a minha mae, dela nunca estar do meu lado.	3.9605000000000006	4	negativa	3	0	3	1	4.4025	4	negativa	4	0	4	0	1
Penso que o amor surge não sei onde, cresce não sei porque e machuca sem querer você talvez seja minha única esperança... ou a última.	8.1415	4	positiva	2	2	1	1	15.00375	4	negativa	3	0	3	1	0
A verdade dói, sempre doeu	2.6077500000000002	4	negativa	2	1	2	1	3.4154999999999998	4	negativa	3	0	3	1	1
Vou sentir sua falta és um pedaço de mim que fará muita falta.	34.72775	4	positiva	2	2	1	1	5.337	4	negativa	4	0	4	0	0
É o único responsável pelo que sinto eu me entrego totalmente para você, se você assim quiser posso dar seu nome para alguma estrela ou dar esta estrela para você.	18.31075	4	positiva	3	3	0	1	9.546	4	negativa	2	1	2	1	0
Depois meu pai, simplesmente chegou e falou algo do tipo Sua sem coração, não notou que seu cachorro não está mais aí, que roubaram ele?.	140.786	4	negativa	2	1	2	1	9.6055	4	negativa	4	0	4	0	1
Ate que com 15 anos praticamente fugi de casa e ate hoje com 20 anos não voltei mais.	3.20325	4	negativa	3	0	3	1	7.687500000000001	4	neutra	2	1	1	2	0
